City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,salahonda,2.1019,-78.7217,26.08,83,99,7.71,CO,1728833606
177,mendoza,-32.8908,-68.8272,21.74,43,20,4.12,AR,1728833607
178,labytnangi,66.6572,66.4183,0.55,85,100,5.36,RU,1728833609
179,saipan,15.1355,145.701,27.39,83,40,1.54,MP,1728833610
180,kingston,17.997,-76.7936,32.31,70,20,7.72,JM,1728833611
181,bemidji,47.4736,-94.8803,6.7,83,100,9.77,US,1728833613
182,bredasdorp,-34.5322,20.0403,15.42,87,53,6.8,ZA,1728833614
183,ulladulla,-35.35,150.4667,12.49,73,99,3.37,AU,1728833615
184,sao tome,0.3365,6.7273,27.52,73,78,3.47,ST,1728833617
185,awjilah,29.1081,21.2869,32.71,29,0,5.99,LY,1728833618
186,nkhata bay,-11.6066,34.2907,26.42,56,69,2.08,MW,1728833620
187,west end,26.6833,-78.9667,24.99,77,58,1.96,BS,1728833621
188,shangmei,27.7428,111.2956,19.28,82,99,1.43,CN,1728833622
189,alo,7.4178,6.7371,27.72,79,88,2.55,NG,1728833623
190,lorengau,-2.0226,147.2712,28.23,77,22,4.29,PG,1728833625
191,brisas de zicatela,15.8369,-97.0419,28.29,74,0,1.54,MX,1728833626
192,utrik,11.2278,169.8474,28.01,78,48,5.94,MH,1728833627
193,bechar,31.6167,-2.2167,32.18,18,20,8.75,DZ,1728833629
194,manuguru,17.981,80.7547,25.11,91,45,1.02,IN,1728833630
195,nampula,-15.1165,39.2666,30.97,45,40,5.14,MZ,1728833632
196,tomatlan,19.9333,-105.25,28.01,71,1,1.17,MX,1728833633
197,holalkere,14.0333,76.1833,23.07,84,70,1.28,IN,1728833634
198,talitsa,56.8804,60.0213,-2.7,88,28,1.33,RU,1728833636
199,luderitz,-26.6481,15.1594,22.83,48,5,15.74,NA,1728833637
200,arkalyk,50.2486,66.9114,0.66,47,100,12.52,KZ,1728833406
201,achikulak,44.5517,44.8378,10.6,74,100,7.41,RU,1728833640
202,arraial do cabo,-22.9661,-42.0278,25.98,73,20,5.14,BR,1728833641
203,nova sintra,14.8667,-24.7167,27.77,73,73,3.14,CV,1728833642
204,anadyr,64.75,177.4833,-16.72,85,0,3.0,RU,1728833643
205,datong,40.0936,113.2914,11.09,83,50,2.72,CN,1728833645
206,machilipatnam,16.1667,81.1333,26.72,86,78,3.44,IN,1728833646
207,porto novo,6.4965,2.6036,26.9,73,63,4.07,BJ,1728833648
208,fortuna,40.5982,-124.1573,14.08,95,38,0.94,US,1728833649
209,nuuk,64.1835,-51.7216,3.34,75,75,3.09,GL,1728833410
210,isabela,6.7085,121.9711,26.03,84,55,0.78,PH,1728833652
211,lubao,14.9167,120.55,26.84,84,95,0.91,PH,1728833653
212,abaza,52.655,90.0928,-5.83,98,61,0.73,RU,1728833655
213,chonchi,-42.6128,-73.8092,13.56,73,92,0.24,CL,1728833657
214,ushibukamachi,32.1906,130.0228,21.14,70,5,2.39,JP,1728833658
215,airuk,7.2772,168.8203,28.85,72,87,5.83,MH,1728833659
216,san patricio,28.017,-97.5169,27.73,47,0,3.28,US,1728833661
217,dzhambeyty,50.2536,52.595,3.71,34,0,4.76,KZ,1728833662
218,hobyo,5.3505,48.5268,25.75,84,72,9.86,SO,1728833663
219,neftcala,39.3742,49.2472,18.96,80,100,7.36,AZ,1728833520
220,turtas,58.9417,69.1325,-1.9,75,74,2.53,RU,1728833666
221,port douglas,-16.4833,145.4667,23.28,80,83,3.37,AU,1728833667
222,chandpur,29.15,78.2667,23.93,42,15,0.91,IN,1728833668
223,valdivia,-39.8142,-73.2459,13.05,41,3,0.88,CL,1728833670
224,kholmsk,47.0511,142.0569,7.41,57,80,1.83,RU,1728833671
225,mount gambier,-37.8333,140.7667,9.77,98,17,2.0,AU,1728833672
226,itoman,26.1247,127.6694,27.01,65,20,4.63,JP,1728833674
